deviceId,publicKey
aoaiusdhfojha,asdfkj
asdfasdf,asdfasd
asdfasdf,ewrt
qwert,wer
sdfg,tu
sdrg,ertu
sdfg,rty
ert,rj
qwer,dgfj
twdsfg,dfj
sdgwert,rty
asdfasdf,ewrt
asdfasdf,ewrt
asdfasdf,ewrt
asdfasdf,ewrt
asdfasdf,ewrt
asdfasdf,ewrt
qwert,wer
sdfg,tu
sdrg,ertu
sdfg,rty
ert,rj
qwer,dgfj
twdsfg,dfj
sdgwert,rty
qwert,wer
sdfg,tu
sdrg,ertu
sdfg,rty
ert,rj
qwer,dgfj
twdsfg,dfj
sdgwert,rty
qwert,wer
sdfg,tu
sdrg,ertu
sdfg,rty
ert,rj
qwer,dgfj
twdsfg,dfj
sdgwert,rty
qwert,wer
sdfg,tu
sdrg,ertu
sdfg,rty
ert,rj
qwer,dgfj
twdsfg,dfj
sdgwert,rty
qwert,wer
sdfg,tu
sdrg,ertu
sdfg,rty
ert,rj
qwer,dgfj
twdsfg,dfj
sdgwert,rty
qwert,wer
sdfg,tu
sdrg,ertu
sdfg,rty
ert,rj
qwer,dgfj
twdsfg,dfj
sdgwert,rty
